Appliances,lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,rv1,rv2
230,70,19.9266666667,45.8633333333,19.3566666667,44.4,19.79,44.9,18.89,46.43,17.1,55.0,6.19,87.8666666667,17.2475,42.7175,18.1,48.59,17.0,45.29,5.9666666667,734.3666666667,91.3333333333,5.6666666667,40.0,4.6333333333,10.298728745,10.298728745
580,60,20.0666666667,46.3966666667,19.4266666667,44.4,19.79,44.8266666667,19.0,46.43,17.1,55.0,6.1233333333,87.9933333333,17.53,44.2633333333,18.0666666667,48.6333333333,16.89,45.29,5.9833333333,734.4333333333,91.1666666667,5.8333333333,40.0,4.6166666667,8.8278376264,8.8278376264
430,50,20.1333333333,48.0,19.5666666667,44.4,19.89,44.9,19.0,46.3633333333,17.1,55.09,6.1233333333,88.59,17.8233333333,45.4933333333,18.0666666667,48.56,16.9633333333,45.29,6.0,734.5,91.0,6.0,40.0,4.6,34.3511423329,34.3511423329
250,40,20.26,52.7266666667,19.73,45.1,19.89,45.4933333333,19.0,47.2233333333,17.1,55.1633333333,6.0675,88.215,17.9633333333,46.16,18.0333333333,48.6666666667,16.89,45.3266666667,6.0,734.6166666667,90.5,6.0,40.0,4.5166666667,19.2051859107,19.2051859107
100,10,20.4266666667,55.8933333333,19.8566666667,45.8333333333,20.0333333333,47.5266666667,19.0,48.6966666667,17.1,55.5,5.9,88.1566666667,17.9633333333,45.5333333333,18.1,49.1933333333,16.89,45.345,6.0,734.7333333333,90.0,6.0,40.0,4.4333333333,38.4920709999,38.4920709999
100,10,20.5666666667,53.8933333333,20.0333333333,46.7566666667,20.1,48.4666666667,19.0,48.49,17.15,56.0425,5.8,88.3666666667,17.89,44.9266666667,18.15,49.2,16.89,45.3266666667,6.0,734.85,89.5,6.0,40.0,4.35,24.8849621043,24.8849621043
140,40,20.89,49.8,20.2,46.0266666667,20.1666666667,47.6333333333,19.0333333333,49.5,17.5933333333,70.7266666667,5.3333333333,87.4633333333,17.6,42.6933333333,18.6666666667,50.26,16.89,45.2,6.0,735.2333333333,87.8333333333,6.0,40.0,4.0666666667,38.872261066,38.872261066
120,20,20.89,48.4333333333,20.2,45.7225,20.1666666667,47.3,19.175,49.9475,18.0666666667,79.0,5.4666666667,87.53,17.6,42.3333333333,18.73,50.23,16.89,45.1266666667,6.0,735.2666666667,87.6666666667,6.0,40.0,4.0333333333,46.7352615553,46.7352615553
190,40,20.9633333333,47.6333333333,20.26,45.53,20.2,47.0266666667,19.26,49.6966666667,17.6666666667,79.73,5.5,86.9566666667,17.5333333333,42.0666666667,18.8566666667,50.29,16.89,45.1266666667,6.0,735.3,87.5,6.0,40.0,4.0,10.6071260641,10.6071260641
110,40,21.0333333333,47.0633333333,20.29,45.2233333333,20.26,46.8266666667,19.3233333333,49.1666666667,17.6,79.2566666667,5.56,86.5633333333,17.6333333333,43.6333333333,18.89,50.1633333333,16.89,45.06,6.0,735.3333333333,87.3333333333,6.0,40.0,3.9666666667,32.5836883043,32.5836883043
110,40,21.1,46.5966666667,20.3566666667,44.9633333333,20.29,46.6333333333,19.39,48.4266666667,17.5666666667,78.3933333333,5.6233333333,86.33,17.76,43.6333333333,18.9633333333,50.03,16.89,45.0,6.0,735.3666666667,87.1666666667,6.0,40.0,3.9333333333,6.2777547981,6.2777547981
110,30,21.1333333333,46.06,20.4266666667,44.76,20.29,46.4333333333,19.39,48.1933333333,17.76,82.46,5.7633333333,86.0633333333,17.8566666667,43.46,19.0,49.76,16.89,44.9666666667,6.0,735.4,87.0,6.0,40.0,3.9,13.3610334364,13.3610334364
110,20,21.2,45.8,20.5,44.76,20.39,46.2233333333,19.39,47.8,18.3566666667,82.59,5.6566666667,85.59,17.79,43.4,19.0666666667,49.7,16.89,44.9,5.9333333333,735.4666666667,87.1666666667,6.0,40.0,3.8666666667,19.3057046272,19.3057046272
100,30,21.29,45.9,20.5333333333,45.09,20.39,46.09,19.39,47.56,18.3566666667,70.99,5.53,85.73,17.89,43.79,19.1333333333,49.6333333333,16.89,44.79,5.8666666667,735.5333333333,87.3333333333,6.0,40.0,3.8333333333,0.6695166579,0.6695166579
100,20,21.3566666667,45.8266666667,20.6666666667,45.1633333333,20.39,46.09,19.39,47.5,18.6,62.43,5.4333333333,86.3266666667,17.89,43.79,19.2,49.4333333333,16.89,44.79,5.8,735.6,87.5,6.0,40.0,3.8,19.1193978535,19.1193978535
100,20,21.39,45.69,20.7,45.06,20.39,46.09,19.4266666667,47.9933333333,18.6666666667,59.03,5.5,86.6,17.89,43.7,19.23,49.4,16.89,44.7,5.7333333333,735.6666666667,87.6666666667,6.0,40.0,3.7666666667,43.484542286,43.484542286
100,20,21.5,45.3333333333,20.7,44.9333333333,20.39,46.06,19.5666666667,48.4666666667,18.8233333333,56.7266666667,5.59,86.4666666667,17.865,43.57,19.29,49.3266666667,16.89,44.7,5.6666666667,735.7333333333,87.8333333333,6.0,40.0,3.7333333333,17.0174498344,17.0174498344
110,20,21.5,45.1266666667,20.79,44.6333333333,20.39,46.0,19.6666666667,48.0933333333,18.9633333333,55.3333333333,5.59,86.325,17.79,43.4,19.29,49.1633333333,16.8233333333,44.59,5.6,735.8,88.0,6.0,40.0,3.7,24.1040057736,24.1040057736
400,20,21.5333333333,44.9666666667,20.79,44.36,20.4266666667,45.9333333333,19.6,47.5,19.0333333333,54.0933333333,5.6566666667,86.2266666667,17.79,43.2233333333,19.3566666667,49.03,16.8233333333,44.53,5.65,735.8833333333,87.8333333333,6.1666666667,40.0,3.7166666667,29.9782912713,29.9782912713
400,20,21.6,44.7666666667,20.89,44.2233333333,20.5,45.9333333333,19.6966666667,47.6266666667,19.1,53.3666666667,5.8333333333,85.7666666667,17.79,43.03,19.39,48.8633333333,16.89,44.59,5.7,735.9666666667,87.6666666667,6.3333333333,40.0,3.7333333333,24.6770653524,24.6770653524
390,30,21.6,44.56,20.9633333333,43.9633333333,20.5,45.79,20.0966666667,47.5666666667,19.1583333333,52.4725,5.9,85.0333333333,17.79,42.76,19.39,48.8633333333,16.89,44.5225,5.75,736.05,87.5,6.5,40.0,3.75,9.3108800706,9.3108800706
240,20,21.6,44.36,21.0,43.8333333333,20.5,45.73,20.5966666667,47.2233333333,19.2,51.99,6.0,84.1266666667,17.79,42.6266666667,19.34,48.95,16.8233333333,44.4333333333,5.8,736.1333333333,87.3333333333,6.6666666667,40.0,3.7666666667,41.3686659303,41.3686659303
310,10,21.2,45.09,20.6,44.09,20.1,45.5,20.4266666667,47.23,19.1,50.29,5.4,89.4,17.79,45.2233333333,19.39,52.0,16.89,45.9666666667,5.1666666667,737.3,92.0,6.0,34.0,3.9666666667,1.1665601167,1.1665601167
380,20,21.1666666667,45.23,20.5,44.1266666667,20.1,45.5,20.46,47.36,19.0666666667,50.26,5.2,88.99,17.79,45.3266666667,19.3566666667,52.09,16.89,46.03,5.1333333333,737.4,92.0,6.0,37.0,3.9333333333,23.8615032518,23.8615032518
380,20,21.075,45.3725,20.5,44.2,20.1,45.53,20.7933333333,47.56,19.0,50.1266666667,4.8666666667,89.0633333333,17.79,45.425,19.29,52.1633333333,16.89,46.09,5.1,737.5,92.0,6.0,40.0,3.9,36.6156869335,36.6156869335
