Appliances,lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,rv1,rv2
50,30,19.89,46.3,19.2,44.6266666667,19.79,44.9333333333,18.9266666667,45.89,17.1666666667,55.09,6.56,83.1566666667,17.2,41.4333333333,18.2,48.73,17.0,45.5,6.3666666667,733.7,92.0,6.3333333333,55.3333333333,5.1,28.6426681676,28.6426681676
50,40,19.89,46.0666666667,19.2,44.59,19.79,45.0,18.89,45.7233333333,17.1666666667,55.09,6.4333333333,83.4233333333,17.1333333333,41.29,18.1,48.59,17.0,45.4,6.25,733.8,92.0,6.0,51.5,5.0,45.4103894997,45.4103894997
50,40,19.89,46.0266666667,19.2,44.5,19.79,44.9333333333,18.89,45.73,17.1333333333,55.03,6.3,85.7666666667,17.1333333333,41.26,18.1,48.59,17.0,45.29,6.0166666667,734.0,92.0,5.3333333333,43.8333333333,4.8,44.9194842484,44.9194842484
50,10,21.6,44.2,21.0,43.7,20.29,45.73,20.9633333333,46.4333333333,19.29,50.9333333333,5.7633333333,86.26,17.7,43.1633333333,19.39,50.1633333333,16.89,45.26,5.7,736.5,88.6666666667,6.6666666667,34.0,3.9,36.185547302,36.185547302
40,20,21.39,44.4333333333,20.79,43.79,20.23,45.6566666667,20.7,46.79,19.2,50.6633333333,5.59,87.8966666667,17.7,43.6266666667,19.39,50.9633333333,16.89,45.6266666667,5.4,736.8,91.1666666667,6.1666666667,25.0,4.05,32.353009691,32.353009691
40,10,21.39,44.56,20.79,43.8633333333,20.2,45.6633333333,20.6333333333,46.79,19.2,50.53,5.59,88.6333333333,17.7,43.76,19.39,51.1633333333,16.89,45.7,5.3,736.9,92.0,6.0,22.0,4.1,39.1466381145,39.1466381145
30,20,21.29,44.8266666667,20.7,44.0,20.2,45.59,20.5666666667,46.9333333333,19.2,50.5,5.53,89.0266666667,17.7,43.9333333333,19.4633333333,51.5,16.89,45.79,5.2666666667,737.0,92.0,6.0,25.0,4.0666666667,27.6518155821,27.6518155821
40,20,21.29,44.9666666667,20.6333333333,44.0,20.1666666667,45.5,20.5,47.1333333333,19.2,50.4333333333,5.53,89.4,17.76,44.3333333333,19.39,51.56,16.89,45.8633333333,5.2333333333,737.1,92.0,6.0,28.0,4.0333333333,26.4859790099,26.4859790099
50,20,21.26,45.09,20.6,44.03,20.1,45.5,20.5,47.23,19.1666666667,50.3633333333,5.53,89.1933333333,17.79,44.9633333333,19.39,51.86,16.89,45.9,5.2,737.2,92.0,6.0,31.0,4.0,39.4678115845,39.4678115845
50,0,20.9266666667,45.59,20.29,44.29,20.1666666667,45.53,21.89,46.9666666667,19.0,50.03,4.8666666667,91.26,17.79,45.8633333333,19.29,53.5,16.89,46.29,5.15,737.9,92.0,5.5,40.0,3.95,43.0604738416,43.0604738416
40,0,20.89,45.6666666667,20.23,44.29,20.1333333333,45.5,21.8233333333,46.2266666667,18.9266666667,50.09,4.7266666667,91.5933333333,17.79,45.8266666667,19.29,53.96,16.89,46.4333333333,5.1666666667,738.0333333333,92.0,5.3333333333,40.0,3.9666666667,21.9048553612,21.9048553612
