Appliances,lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,rv1,rv2
50,0,23.0,40.0,22.15,38.79,21.0,41.9,21.2,43.79,20.29,60.5933333333333,2.0,94.46666666666668,18.79,40.363333333333294,20.6,47.433333333333294,17.89,47.06,2.4,761.1,97.0,3.0,28.0,1.9,31.33274237625301,31.33274237625301
50,0,22.89,40.1266666666667,22.1,38.933333333333294,21.0,41.9,21.1333333333333,43.79,20.2,59.4966666666667,2.0,94.4,18.79,40.4,20.6,47.56,17.89,47.06,2.375,761.158333333333,96.8333333333333,3.16666666666667,29.0,1.85833333333333,2.868633915204555,2.868633915204555
30,0,22.89,40.2,22.033333333333296,39.0,21.0,41.9,21.0,43.7,20.2,58.83,2.06,94.46666666666668,18.79,40.4666666666667,20.6,47.8266666666667,17.89,47.0,2.35,761.216666666667,96.6666666666667,3.3333333333333295,30.0,1.81666666666667,42.5833819899708,42.5833819899708
20,0,22.79,40.09,22.0,39.1266666666667,21.0,41.9,20.9266666666667,43.7,20.066666666666695,58.033333333333296,2.09,94.5,18.7,40.53,20.6,47.9666666666667,17.89,47.0,2.325,761.275,96.5,3.5,31.0,1.775,10.632267291657628,10.632267291657628
40,0,22.79,40.1633333333333,22.0,39.26,21.0,41.9,20.76,43.7,20.0,57.4266666666667,2.09,94.5225,18.7,40.6633333333333,20.5,48.1266666666667,17.89,47.0,2.3,761.3333333333329,96.3333333333333,3.6666666666666705,32.0,1.73333333333333,26.97310139192268,26.97310139192268
50,0,22.76,40.23,21.89,39.29,20.89,41.933333333333294,20.7,43.7,20.0,56.7666666666667,2.09,94.59,18.7,40.7666666666667,20.5,48.2,17.89,47.0,2.275,761.391666666667,96.1666666666667,3.8333333333333295,33.0,1.69166666666667,6.8243793095462015,6.8243793095462015
50,0,22.7,40.29,21.89,39.363333333333294,20.89,42.0,20.6666666666667,43.6633333333333,20.0,56.3,2.12666666666667,94.59,18.7,40.9666666666667,20.39,48.06,17.89,47.0,2.25,761.45,96.0,4.0,34.0,1.65,16.24325702432543,16.24325702432543
50,0,22.6666666666667,40.29,21.8566666666667,39.4,20.89,42.09,20.6,43.53,19.89,55.645,2.12666666666667,94.53,18.7,41.09,20.39,48.06,17.89,47.0,2.225,761.5083333333331,95.8333333333333,4.16666666666667,35.0,1.60833333333333,31.05381468776613,31.05381468776613
60,0,22.6,40.29,21.79,39.4666666666667,20.89,42.03,20.5,43.5,19.79,54.99,2.09,94.56,18.7,41.223333333333294,20.29,48.2666666666667,17.89,47.06,2.2,761.5666666666668,95.6666666666667,4.3333333333333295,36.0,1.56666666666667,12.79911242891103,12.79911242891103
50,0,22.6,40.29,21.7,39.53,20.89,42.09,20.4266666666667,43.433333333333294,19.79,54.6566666666667,2.09,94.5,18.7,41.3266666666667,20.29,48.5266666666667,17.89,47.0,2.175,761.625,95.5,4.5,37.0,1.525,31.743789941538125,31.743789941538125
60,0,22.6,40.29,21.7,39.59,20.89,42.03,20.3566666666667,43.5,19.76,54.2966666666667,2.2,94.5,18.7,41.4,20.29,48.59,17.89,47.0,2.15,761.6833333333329,95.3333333333333,4.66666666666667,38.0,1.48333333333333,24.28360534831881,24.28360534831881
50,0,22.5,40.29,21.6666666666667,39.56,20.8566666666667,42.06,20.29,43.5,19.7,53.963333333333296,2.2,94.5,18.7,41.433333333333294,20.23,48.6633333333333,17.89,47.03,2.125,761.741666666667,95.1666666666667,4.8333333333333295,39.0,1.44166666666667,46.90884583396837,46.90884583396837
40,0,22.5,40.29,21.6,39.56,20.79,41.933333333333294,20.23,43.433333333333294,19.6666666666667,53.6,2.09,94.5,18.7,41.6333333333333,20.2,48.89,17.89,47.09,2.1,761.7999999999998,95.0,5.0,40.0,1.4,42.87507685367017,42.87507685367017
50,0,22.39,40.2,21.5,39.59,20.79,41.8266666666667,20.2,43.4,19.6,53.3266666666667,2.09,94.5,18.7,41.8266666666667,20.2,49.2966666666667,17.89,47.09,2.0,761.866666666667,95.0,4.5,40.0,1.3,18.54417688446119,18.54417688446119
50,0,22.39,40.2,21.5,39.59,20.79,41.8266666666667,20.2,43.4,19.6,53.06,1.9666666666666697,94.4,18.7,41.8266666666667,20.2,49.645,17.89,47.09,1.9,761.9333333333329,95.0,4.0,40.0,1.2,15.71009149774909,15.71009149774909
50,0,22.3566666666667,40.2,21.463333333333296,39.56,20.7,41.79,20.1,43.4,19.6,52.933333333333294,1.8266666666666695,94.3333333333333,18.7,41.7,20.2,49.7,17.89,47.09,1.8,762.0,95.0,3.5,40.0,1.1,41.426717990543686,41.426717990543686
50,0,22.29,40.2,21.39,39.5,20.7,41.863333333333294,20.1,43.4,19.566666666666695,52.6633333333333,1.66666666666667,94.4,18.7,41.76,20.2,49.7,17.89,47.09,1.7,762.0666666666668,95.0,3.0,40.0,1.0,22.592075658030808,22.592075658030808
40,0,22.29,40.2,21.3566666666667,39.56,20.7,41.9,20.0,43.29,19.5,52.53,1.46,94.4,18.7,41.645,20.2,49.7,17.89,47.2,1.6,762.1333333333331,95.0,2.5,40.0,0.9,15.793920611031352,15.793920611031352
30,0,22.2,40.09,21.29,39.56,20.7,41.9,20.0,43.29,19.5,52.363333333333294,1.13333333333333,94.46666666666668,18.7,41.6266666666667,20.1333333333333,49.7,17.89,47.2,1.5,762.2,95.0,2.0,40.0,0.8,4.890426876954734,4.890426876954734
30,0,22.2,40.09,21.29,39.59,20.6666666666667,41.76,19.963333333333296,43.29,19.4266666666667,52.1566666666667,0.933333333333333,94.4,18.7,41.7,20.1,49.7,17.89,47.2,1.35,762.216666666667,95.3333333333333,2.0,37.16666666666669,0.7,3.245026827789843,3.245026827789843
40,0,22.1666666666667,40.09,21.2675,39.5675,20.6,41.7,19.89,43.29,19.39,51.9666666666667,0.75,94.45,18.7,41.7,20.1,49.7,17.89,47.29,1.2,762.233333333333,95.6666666666667,2.0,34.3333333333333,0.6,34.472868323791765,34.472868323791765
50,0,22.1,40.09,21.2,39.56,20.566666666666695,41.7,19.8566666666667,43.26,19.39,51.8266666666667,0.5333333333333329,94.53,18.7,41.7,20.1,49.6633333333333,17.89,47.29,1.05,762.25,96.0,2.0,31.5,0.5,33.40253019705415,33.40253019705415
50,0,22.066666666666695,40.06,21.1,39.59,20.5,41.7,19.79,43.2,19.3566666666667,51.76,0.2666666666666669,94.6566666666667,18.7,41.7,20.1,49.53,17.89,47.29,0.9,762.266666666667,96.3333333333333,2.0,28.666666666666696,0.4,45.2273323899135,45.2273323899135
