Appliances,lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,rv1,rv2
230,70,19.9266666667,45.8633333333,19.3566666667,44.4,19.79,44.9,18.89,46.43,17.1,55.0,6.19,87.8666666667,17.2475,42.7175,18.1,48.59,17.0,45.29,5.9666666667,734.3666666667,91.3333333333,5.6666666667,40.0,4.6333333333,10.298728745,10.298728745
580,60,20.0666666667,46.3966666667,19.4266666667,44.4,19.79,44.8266666667,19.0,46.43,17.1,55.0,6.1233333333,87.9933333333,17.53,44.2633333333,18.0666666667,48.6333333333,16.89,45.29,5.9833333333,734.4333333333,91.1666666667,5.8333333333,40.0,4.6166666667,8.8278376264,8.8278376264
430,50,20.1333333333,48.0,19.5666666667,44.4,19.89,44.9,19.0,46.3633333333,17.1,55.09,6.1233333333,88.59,17.8233333333,45.4933333333,18.0666666667,48.56,16.9633333333,45.29,6.0,734.5,91.0,6.0,40.0,4.6,34.3511423329,34.3511423329
250,40,20.26,52.7266666667,19.73,45.1,19.89,45.4933333333,19.0,47.2233333333,17.1,55.1633333333,6.0675,88.215,17.9633333333,46.16,18.0333333333,48.6666666667,16.89,45.3266666667,6.0,734.6166666667,90.5,6.0,40.0,4.5166666667,19.2051859107,19.2051859107
100,10,20.4266666667,55.8933333333,19.8566666667,45.8333333333,20.0333333333,47.5266666667,19.0,48.6966666667,17.1,55.5,5.9,88.1566666667,17.9633333333,45.5333333333,18.1,49.1933333333,16.89,45.345,6.0,734.7333333333,90.0,6.0,40.0,4.4333333333,38.4920709999,38.4920709999
70,30,20.8566666667,53.66,20.2,47.0566666667,20.2,48.4475,18.89,47.9633333333,17.2,56.9333333333,5.5266666667,87.3,17.7,43.7266666667,18.3566666667,50.0266666667,16.89,45.29,6.0,735.0833333333,88.5,6.0,40.0,4.1833333333,49.5953047415,49.5953047415
140,40,20.89,49.8,20.2,46.0266666667,20.1666666667,47.6333333333,19.0333333333,49.5,17.5933333333,70.7266666667,5.3333333333,87.4633333333,17.6,42.6933333333,18.6666666667,50.26,16.89,45.2,6.0,735.2333333333,87.8333333333,6.0,40.0,4.0666666667,38.872261066,38.872261066
120,20,20.89,48.4333333333,20.2,45.7225,20.1666666667,47.3,19.175,49.9475,18.0666666667,79.0,5.4666666667,87.53,17.6,42.3333333333,18.73,50.23,16.89,45.1266666667,6.0,735.2666666667,87.6666666667,6.0,40.0,4.0333333333,46.7352615553,46.7352615553
190,40,20.9633333333,47.6333333333,20.26,45.53,20.2,47.0266666667,19.26,49.6966666667,17.6666666667,79.73,5.5,86.9566666667,17.5333333333,42.0666666667,18.8566666667,50.29,16.89,45.1266666667,6.0,735.3,87.5,6.0,40.0,4.0,10.6071260641,10.6071260641
110,40,21.0333333333,47.0633333333,20.29,45.2233333333,20.26,46.8266666667,19.3233333333,49.1666666667,17.6,79.2566666667,5.56,86.5633333333,17.6333333333,43.6333333333,18.89,50.1633333333,16.89,45.06,6.0,735.3333333333,87.3333333333,6.0,40.0,3.9666666667,32.5836883043,32.5836883043
400,20,21.5333333333,44.9666666667,20.79,44.36,20.4266666667,45.9333333333,19.6,47.5,19.0333333333,54.0933333333,5.6566666667,86.2266666667,17.79,43.2233333333,19.3566666667,49.03,16.8233333333,44.53,5.65,735.8833333333,87.8333333333,6.1666666667,40.0,3.7166666667,29.9782912713,29.9782912713
240,20,21.6,44.36,21.0,43.8333333333,20.5,45.73,20.5966666667,47.2233333333,19.2,51.99,6.0,84.1266666667,17.79,42.6266666667,19.34,48.95,16.8233333333,44.4333333333,5.8,736.1333333333,87.3333333333,6.6666666667,40.0,3.7666666667,41.3686659303,41.3686659303
60,20,21.6,44.2,21.0,43.7,20.5,45.59,20.9966666667,47.03,19.2225,51.52,6.0,84.06,17.7,42.6266666667,19.29,49.23,16.89,44.5,5.85,736.2166666667,87.1666666667,6.8333333333,40.0,3.7833333333,33.4233369096,33.4233369096
70,20,21.5,44.23,20.9266666667,43.76,20.29,45.79,20.865,46.5675,19.29,50.8633333333,5.6233333333,86.5933333333,17.7,43.4,19.39,50.4633333333,16.89,45.4333333333,5.6,736.6,89.5,6.5,31.0,3.95,20.5637214822,20.5637214822
40,20,21.39,44.4333333333,20.79,43.79,20.23,45.6566666667,20.7,46.79,19.2,50.6633333333,5.59,87.8966666667,17.7,43.6266666667,19.39,50.9633333333,16.89,45.6266666667,5.4,736.8,91.1666666667,6.1666666667,25.0,4.05,32.353009691,32.353009691
310,10,21.2,45.09,20.6,44.09,20.1,45.5,20.4266666667,47.23,19.1,50.29,5.4,89.4,17.79,45.2233333333,19.39,52.0,16.89,45.9666666667,5.1666666667,737.3,92.0,6.0,34.0,3.9666666667,1.1665601167,1.1665601167
380,20,21.1666666667,45.23,20.5,44.1266666667,20.1,45.5,20.46,47.36,19.0666666667,50.26,5.2,88.99,17.79,45.3266666667,19.3566666667,52.09,16.89,46.03,5.1333333333,737.4,92.0,6.0,37.0,3.9333333333,23.8615032518,23.8615032518
120,10,21.0,45.59,20.39,44.26,20.1,45.59,21.5966666667,47.4,19.0,50.03,5.0,91.4333333333,17.79,45.73,19.23,52.9,16.89,46.2,5.1333333333,737.7666666667,92.0,5.6666666667,40.0,3.9333333333,23.8809811068,23.8809811068
50,0,20.9266666667,45.59,20.29,44.29,20.1666666667,45.53,21.89,46.9666666667,19.0,50.03,4.8666666667,91.26,17.79,45.8633333333,19.29,53.5,16.89,46.29,5.15,737.9,92.0,5.5,40.0,3.95,43.0604738416,43.0604738416
40,0,20.4266666667,46.23,19.79,44.53,20.2,45.4,20.39,46.1633333333,18.6333333333,50.03,3.895,94.045,17.89,46.2,19.2,55.03,17.0,48.09,4.85,739.25,92.5,5.0,40.0,3.7,16.6197337094,16.6197337094
60,0,20.1666666667,46.3633333333,19.5,44.7,20.29,45.59,19.79,46.4666666667,18.5,50.0,4.8,94.2266666667,17.89,45.59,19.1,54.4,17.1,49.2,4.9833333333,739.85,91.3333333333,5.1666666667,40.0,3.6333333333,41.9720175094,41.9720175094
70,10,19.89,46.23,19.29,44.925,20.3233333333,45.59,19.5,46.7,18.3566666667,49.9333333333,4.9975,95.82,17.89,45.9,19.0,53.79,17.1,49.8266666667,4.9333333333,740.4333333333,94.6666666667,4.1666666667,38.1666666667,4.1,48.0308998609,48.0308998609
40,0,19.89,46.43,19.29,45.0,20.29,45.59,19.4266666667,46.7,18.29,50.0,5.09,96.03,17.89,45.9666666667,19.0,53.79,17.1,49.9666666667,4.9666666667,740.5666666667,94.3333333333,4.3333333333,36.3333333333,4.1,21.7329742387,21.7329742387
140,20,19.79,48.6666666667,19.1,45.0,20.2,45.29,19.1666666667,45.9,18.1,51.9666666667,5.06,96.1566666667,17.79,44.3266666667,18.79,51.9633333333,17.1,48.6333333333,5.1,741.8,91.0,5.0,40.0,3.8,11.9814707548,11.9814707548
110,30,19.79,48.5333333333,19.0666666667,45.06,20.1333333333,45.29,19.2,45.76,18.1,52.1266666667,5.09,96.0266666667,17.8566666667,44.66,18.79,51.6333333333,17.1,48.36,5.05,741.8833333333,91.0,5.0,40.0,3.7333333333,2.9467188637,2.9467188637
